Sample in Buffer,Sample in Window,TRIGGER,w_accum_data[47:0],w_rom_data[15:0],o_led_OBUF[9:9],w_count[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,0011eaf2b373,dac2,0,043
1,1,0,0011eaf33277,78a4,0,044
2,2,0,0011eaf30d39,d8b0,0,045
3,3,0,0011eaf385dd,62f4,0,046
4,4,0,0011eaf35e8d,f466,0,047
5,5,0,0011eaf3c181,e9d6,0,048
6,6,0,0011eaf3b5e7,b7bd,0,049
7,7,0,0011eaf39fbd,a02a,0,04a
8,8,0,0011eaf3577a,cf15,0,04b
9,9,0,0011eaf2f7a4,39e1,0,04c
10,10,0,0011eaf2c6b9,486a,0,04d
11,11,0,0011eaf3009a,319c,0,04e
12,12,0,0011eaf34904,8282,0,04f
13,13,0,0011eaf37aa0,57dc,0,050
14,14,0,0011eaf2fd22,6c1d,0,051
15,15,0,0011eaf354fe,455d,0,052
16,16,0,0011eaf3c11b,8aeb,0,053
17,17,0,0011eaf40678,e0d0,0,054
18,18,0,0011eaf39163,344f,0,055
19,19,0,0011eaf37233,3ac1,0,056
20,20,0,0011eaf3a682,b96a,0,057
21,21,0,0011eaf3e143,c4e0,0,058
22,22,0,0011eaf39aad,2c4b,0,059
23,23,0,0011eaf35f8d,fa3c,0,05a
24,24,0,0011eaf38bd8,1fab,0,05b
25,25,0,0011eaf38614,bc87,0,05c
26,26,0,0011eaf3a5bf,ad57,0,05d
27,27,0,0011eaf36246,5463,0,05e
28,28,0,0011eaf30f9d,4454,0,05f
29,29,0,0011eaf36400,6f39,0,060
30,30,0,0011eaf3a854,9b9e,0,061
31,31,0,0011eaf4178d,aea6,0,062
32,32,0,0011eaf3b32b,995e,0,063
33,33,0,0011eaf361d1,fd61,0,064
34,34,0,0011eaf2fb2f,b178,0,065
35,35,0,0011eaf2f890,6559,0,066
36,36,0,0011eaf2aa08,995d,0,067
37,37,0,0011eaf30f61,8b4e,0,068
38,38,0,0011eaf2a8be,0eaa,0,069
39,39,0,0011eaf2340c,45c2,0,06a
40,40,0,0011eaf242b6,cfdb,0,06b
41,41,0,0011eaf28878,add1,0,06c
42,42,0,0011eaf25853,d6c5,0,06d
43,43,0,0011eaf20624,b5cc,0,06e
44,44,0,0011eaf1dce9,0299,0,06f
45,45,0,0011eaf192b5,6807,0,070
46,46,0,0011eaf1954e,2101,0,071
47,47,0,0011eaf1fd55,99fe,0,072
